model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_9_18_nodes_full_data.csv,3,16,0,20000,0.9718,0.9099,0.9203,0.8976,0.9088,0.0805,1.18,0.0648,0.5279,0.4474
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_0_18_nodes_full_data.csv,3,16,10,20000,0.8711,0.759,0.7024,0.8987,0.7885,0.0706,1.1169,0.0765,0.675,0.6044
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_1_18_nodes_full_data.csv,3,16,10,20000,0.8764,0.7924,0.7991,0.7813,0.7901,0.1481,0.7368,0.2015,0.4147,0.5628
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_2_18_nodes_full_data.csv,3,16,10,20000,0.9569,0.8862,0.8924,0.8782,0.8852,0.0505,1.1082,0.1087,0.5173,0.4668
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_3_18_nodes_full_data.csv,3,16,10,20000,0.8703,0.7703,0.7617,0.7867,0.774,0.1036,0.8176,0.2667,0.4645,0.5682
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_4_18_nodes_full_data.csv,3,16,10,20000,0.8418,0.7736,0.7792,0.7636,0.7713,0.0554,0.893,0.0187,0.4623,0.5177
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_5_18_nodes_full_data.csv,3,16,10,20000,0.7651,0.6906,0.6848,0.7063,0.6954,0.0211,1.0418,0.0343,0.5263,0.5052
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_6_18_nodes_full_data.csv,3,16,10,20000,0.9316,0.8341,0.8434,0.8205,0.8318,0.1929,0.6691,0.2306,0.39,0.583
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_7_18_nodes_full_data.csv,3,16,10,20000,0.9446,0.8634,0.8628,0.8641,0.8635,0.2656,1.7225,0.1681,0.6332,0.3676
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_8_18_nodes_full_data.csv,3,16,10,20000,0.9613,0.8894,0.9162,0.8572,0.8857,0.251,0.5769,0.1474,0.3423,0.5933
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_9_18_nodes_full_data.csv,3,16,10,20000,0.8232,0.7426,0.7486,0.7305,0.7394,0.1036,0.808,0.2839,0.4361,0.5397
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_0_18_nodes_full_data.csv,3,16,20,20000,0.8479,0.7679,0.7615,0.7802,0.7708,0.0004,0.9992,0.0451,0.5121,0.5125
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_1_18_nodes_full_data.csv,3,16,20,20000,0.9034,0.8237,0.818,0.8327,0.8253,0.1298,1.2922,0.0298,0.5738,0.4441
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_2_18_nodes_full_data.csv,3,16,20,20000,0.8019,0.7171,0.7048,0.7473,0.7254,0.0057,0.9894,0.0694,0.5273,0.533
