model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_4_18_nodes_full_data.csv,3,16,10,20000,0.8609,0.7938,0.8103,0.7673,0.7882,0.1953,0.6579,0.1392,0.3757,0.571
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_5_18_nodes_full_data.csv,3,16,10,20000,0.9164,0.8447,0.8788,0.7997,0.8374,0.4587,3.0352,0.3677,0.6841,0.2254
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_6_18_nodes_full_data.csv,3,16,10,20000,0.9952,0.9639,0.968,0.9596,0.9638,0.5472,0.2889,0.1002,0.2223,0.7694
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_7_18_nodes_full_data.csv,3,16,10,20000,0.9958,0.9674,0.9643,0.9706,0.9675,0.5298,3.229,0.0442,0.7675,0.2377
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_8_18_nodes_full_data.csv,3,16,10,20000,0.9952,0.961,0.9659,0.9558,0.9608,0.4486,0.3761,0.0503,0.2705,0.7191
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_9_18_nodes_full_data.csv,3,16,10,20000,0.9967,0.9715,0.9834,0.9593,0.9712,0.5895,0.2464,0.0615,0.1927,0.7822
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_0_18_nodes_full_data.csv,3,16,20,20000,0.8565,0.7769,0.7717,0.7866,0.7791,0.0816,0.8518,0.0389,0.4689,0.5505
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_1_18_nodes_full_data.csv,3,16,20,20000,0.9243,0.8516,0.8577,0.8432,0.8504,0.3296,2.0092,0.1654,0.6562,0.3266
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_2_18_nodes_full_data.csv,3,16,20,20000,0.9165,0.8388,0.8674,0.8,0.8323,0.4707,0.3242,0.3672,0.2258,0.6964
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_3_18_nodes_full_data.csv,3,16,20,20000,0.9755,0.9253,0.9426,0.9057,0.9238,0.1925,0.6663,0.056,0.3843,0.5768
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_4_18_nodes_full_data.csv,3,16,20,20000,0.994,0.9592,0.9645,0.9534,0.9589,0.6081,4.194,0.1069,0.7985,0.1904
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_5_18_nodes_full_data.csv,3,16,20,20000,0.9974,0.9696,0.9733,0.9657,0.9695,0.3366,2.0257,0.0368,0.6648,0.3282
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_6_18_nodes_full_data.csv,3,16,20,20000,0.9784,0.9202,0.9316,0.9071,0.9191,0.4174,2.4998,0.1334,0.6958,0.2783
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_7_18_nodes_full_data.csv,3,16,20,20000,0.973,0.9083,0.9053,0.912,0.9087,0.218,0.6443,0.0555,0.3949,0.6129
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_8_18_nodes_full_data.csv,3,16,20,20000,0.9871,0.9404,0.9455,0.9346,0.94,0.0669,0.8732,0.0362,0.4609,0.5278
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_9_18_nodes_full_data.csv,3,16,20,20000,0.9331,0.85,0.8698,0.8233,0.8459,0.0232,0.9522,0.0003,0.4617,0.4848
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_0_18_nodes_full_data.csv,3,16,40,20000,0.8786,0.7967,0.8067,0.7804,0.7933,0.4907,3.0575,0.384,0.7292,0.2385
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_1_18_nodes_full_data.csv,3,16,40,20000,0.5109,0.5096,0.5098,0.4995,0.5046,0.0043,0.9912,0.0175,0.4877,0.492
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_2_18_nodes_full_data.csv,3,16,40,20000,0.9842,0.9326,0.934,0.9309,0.9325,0.0668,0.8743,0.0018,0.465,0.5318
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_3_18_nodes_full_data.csv,3,16,40,20000,0.956,0.8816,0.8968,0.8624,0.8793,0.1951,1.509,0.1128,0.5785,0.3834
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_4_18_nodes_full_data.csv,3,16,40,20000,0.9557,0.8842,0.8892,0.8777,0.8834,0.7811,8.6047,0.5149,0.8838,0.1027
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_5_18_nodes_full_data.csv,3,16,40,20000,0.9967,0.9698,0.9732,0.9663,0.9697,0.3837,2.2579,0.0318,0.6887,0.305
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_6_18_nodes_full_data.csv,3,16,40,20000,0.9596,0.9082,0.9263,0.8868,0.9062,0.5762,0.2484,0.2774,0.1905,0.7667
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_7_18_nodes_full_data.csv,3,16,40,20000,0.9722,0.9305,0.9709,0.8877,0.9274,0.6328,5.4966,0.3409,0.7736,0.1407
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_8_18_nodes_full_data.csv,3,16,40,20000,0.9969,0.9708,0.9643,0.9778,0.971,0.1515,1.3513,0.0036,0.5826,0.4312
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_9_18_nodes_full_data.csv,3,16,40,20000,0.852,0.7871,0.8234,0.7311,0.7745,0.4963,3.5361,0.5139,0.692,0.1957
