model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_1_18_nodes_full_data.csv,3,16,10,20000,0.8041,0.7163,0.7408,0.6654,0.701,0.3016,0.4971,0.0083,0.2981,0.5997
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_2_18_nodes_full_data.csv,3,16,10,20000,0.8591,0.6249,0.5732,0.9779,0.7228,0.032,0.9631,0.0337,0.837,0.869
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_3_18_nodes_full_data.csv,3,16,10,20000,0.7927,0.75,0.707,0.8538,0.7735,0.3498,0.5507,0.155,0.4287,0.7785
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_4_18_nodes_full_data.csv,3,16,10,20000,0.743,0.68,0.6557,0.7582,0.7032,0.0106,0.9819,0.0203,0.5729,0.5835
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_5_18_nodes_full_data.csv,3,16,10,20000,0.6859,0.6285,0.6228,0.652,0.637,0.0346,0.9361,0.0377,0.5062,0.5408
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_6_18_nodes_full_data.csv,3,16,10,20000,0.7494,0.6467,0.6606,0.6034,0.6307,0.022,1.0493,0.2279,0.4677,0.4457
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_7_18_nodes_full_data.csv,3,16,10,20000,0.6549,0.638,0.6747,0.5331,0.5956,0.0379,0.9085,0.3531,0.3762,0.414
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_8_18_nodes_full_data.csv,3,16,10,20000,0.8454,0.7525,0.7263,0.8103,0.766,0.2133,0.679,0.0963,0.4512,0.6645
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_9_18_nodes_full_data.csv,3,16,10,20000,0.7934,0.7045,0.7367,0.6365,0.683,0.1004,0.7917,0.2218,0.3817,0.4822
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_0_18_nodes_full_data.csv,3,16,20,20000,0.7738,0.7105,0.7289,0.6703,0.6984,0.2209,0.6127,0.1789,0.3494,0.5702
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_1_18_nodes_full_data.csv,3,16,20,20000,0.833,0.7576,0.7377,0.7995,0.7674,0.5977,3.4625,0.4485,0.8405,0.2427
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_2_18_nodes_full_data.csv,3,16,20,20000,0.7914,0.6896,0.6928,0.6814,0.687,0.0537,0.8965,0.1681,0.4649,0.5186
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_3_18_nodes_full_data.csv,3,16,20,20000,0.6786,0.5635,0.5345,0.9837,0.6926,0.0729,0.9238,0.0282,0.8838,0.9567
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_4_18_nodes_full_data.csv,3,16,20,20000,0.7906,0.7433,0.7724,0.6899,0.7288,0.2479,1.7682,0.2807,0.5706,0.3227
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_5_18_nodes_full_data.csv,3,16,20,20000,0.8553,0.7379,0.7523,0.7096,0.7303,0.0772,1.1783,0.1375,0.5103,0.4331
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_6_18_nodes_full_data.csv,3,16,20,20000,0.9595,0.6503,0.5886,0.9982,0.7405,0.1263,1.1609,0.0009,0.9112,0.7849
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_7_18_nodes_full_data.csv,3,16,20,20000,0.8377,0.7373,0.7678,0.6803,0.7214,0.1399,0.7275,0.0267,0.3733,0.5131
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_8_18_nodes_full_data.csv,3,16,20,20000,0.622,0.5771,0.576,0.5842,0.5801,0.2061,0.6623,0.1856,0.4043,0.6104
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_9_18_nodes_full_data.csv,3,16,20,20000,0.6695,0.5875,0.5843,0.6064,0.5952,0.2294,1.5674,0.0936,0.6336,0.4042
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_0_18_nodes_full_data.csv,3,16,40,20000,0.6165,0.5401,0.5211,0.9887,0.6825,0.075,1.0823,0.0288,0.9862,0.9112
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_1_18_nodes_full_data.csv,3,16,40,20000,0.476,0.4934,0.4872,0.2522,0.3324,0.0287,0.8948,0.0217,0.2445,0.2732
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_2_18_nodes_full_data.csv,3,16,40,20000,0.8419,0.6973,0.7719,0.56,0.6491,0.1393,0.678,0.1321,0.2932,0.4325
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_3_18_nodes_full_data.csv,3,16,40,20000,0.7231,0.6292,0.6204,0.6658,0.6423,0.045,1.0876,0.0293,0.5591,0.5141
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_4_18_nodes_full_data.csv,3,16,40,20000,0.7892,0.7069,0.6934,0.7421,0.7169,0.2763,1.696,0.1204,0.6732,0.3969
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_5_18_nodes_full_data.csv,3,16,40,20000,0.8031,0.705,0.7119,0.6887,0.7001,0.0621,0.8794,0.3135,0.4526,0.5147
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_6_18_nodes_full_data.csv,3,16,40,20000,0.8217,0.7132,0.7431,0.6517,0.6944,0.3051,0.4837,0.0438,0.2859,0.591
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_7_18_nodes_full_data.csv,3,16,40,20000,0.7124,0.6326,0.6187,0.6912,0.6529,0.0424,1.0789,0.2395,0.5798,0.5374
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_8_18_nodes_full_data.csv,3,16,40,20000,0.7185,0.6191,0.6326,0.5682,0.5987,0.0092,0.9797,0.0153,0.4445,0.4537
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_9_18_nodes_full_data.csv,3,16,40,20000,0.407,0.3666,0.3455,0.2982,0.3201,0.5647,0.2092,0.4983,0.1494,0.7141
