model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_2_18_nodes_full_data.csv,3,16,10,20000,0.9896,0.9467,0.9468,0.9465,0.9467,0.1699,1.4094,0.01,0.5849,0.415
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_3_18_nodes_full_data.csv,3,16,10,20000,0.992,0.9489,0.9385,0.9607,0.9495,0.5071,0.3372,0.0106,0.258,0.7651
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_4_18_nodes_full_data.csv,3,16,10,20000,0.8595,0.7843,0.773,0.8051,0.7887,0.184,0.6997,0.1199,0.4287,0.6126
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_5_18_nodes_full_data.csv,3,16,10,20000,0.8883,0.8189,0.8887,0.7293,0.8011,0.5006,4.1338,0.4672,0.6604,0.1597
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_6_18_nodes_full_data.csv,3,16,10,20000,0.9959,0.9597,0.9851,0.9335,0.9586,0.5409,0.2734,0.1354,0.2035,0.7444
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_7_18_nodes_full_data.csv,3,16,10,20000,0.9963,0.9668,0.9592,0.9752,0.9671,0.5392,3.2657,0.0508,0.7772,0.238
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_8_18_nodes_full_data.csv,3,16,10,20000,0.994,0.9561,0.9454,0.9681,0.9566,0.47,0.3708,0.0535,0.277,0.747
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_9_18_nodes_full_data.csv,3,16,10,20000,0.9927,0.9576,0.969,0.9454,0.9571,0.5932,0.2435,0.1088,0.1909,0.7841
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_0_18_nodes_full_data.csv,3,16,20,20000,0.8703,0.7878,0.7627,0.8356,0.7975,0.0272,0.9515,0.0208,0.5342,0.5614
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_1_18_nodes_full_data.csv,3,16,20,20000,0.9342,0.8592,0.8534,0.8674,0.8603,0.3361,1.9886,0.1527,0.6761,0.34
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_2_18_nodes_full_data.csv,3,16,20,20000,0.9306,0.8557,0.9161,0.7831,0.8444,0.4711,0.2893,0.3699,0.1917,0.6628
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_3_18_nodes_full_data.csv,3,16,20,20000,0.972,0.9189,0.9326,0.9032,0.9176,0.2051,0.6505,0.0741,0.3817,0.5869
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_4_18_nodes_full_data.csv,3,16,20,20000,0.9925,0.9438,0.9812,0.9049,0.9415,0.623,5.1564,0.2222,0.7729,0.1499
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_5_18_nodes_full_data.csv,3,16,20,20000,0.9955,0.9627,0.9766,0.9481,0.9621,0.3394,2.0737,0.0524,0.6555,0.3161
